indicator_id,name,kinedu_category,general_category_MF,specific_category_MF,spanish,general_category,specific_category,cdc_months,cdc_wording,cdc_category,WHO_months_50th_pcntl,WHO_CI_lower,WHO_CI_upper,WHO_milestone
77,Stares at objects and follows them with his/her sight ,gaze,sensation,visual attention,Mira objetos durante cierto tiempo y los sigue con sus ojos,sensation,visual attention,2,Begins to follow things with eyes and recognize people at a distance,cog,,,,
281,Follows the movements of objects or people with his/her sight,gaze,sensation,visual attention,Sigue con la vista el movimiento de un objeto o de personas,sensation,visual attention,2,Begins to follow things with eyes and recognize people at a distance,cog,,,,
240,Observes faces,gaze,social and emotional,attention,Observa los rostros ,social and emotional,attention,2,Pays attention to faces,cog,,,,
280,Follows parents with his/her sight within a 180 degree range,gaze,social and emotional,attention,Sigue a sus padres con la vista dentro de un rango de 180ç ,social and emotional,attention,2,Tries to look at parent,cog,,,,
46,Turns his/her head when the doorbell or phone rings,sound,sensation,audition,Gira la cabeza si oye el timbre de la puerta o del telê©fono,sensation,audition,2,Turns head toward sounds,lang/comm,,,,
66,Locates the source of a sound by turning his/her head in different directions,sound,sensation,audition,Localiza fuentes de sonido girando la cabeza en los distintos planos de movimiento,sensation,audition,2,Turns head toward sounds,lang/comm,,,,
145,Turns toward the direction of a sound,sound,sensation,audition,Voltea hacia donde est_ el ruido,sensation,audition,2,Turns head toward sounds,lang/comm,,,,
263,Supports his/her weight briefly on forearms,position,locomotor,early body posture,Se apoya brevemente en los antebrazos,locomotor,early body posture,2,Can hold head up and begins to push up when lying on tummy,movement,,,,
305,Holds his/her head at torso level,NA,locomotor,hands,Mantiene la cabeza al nivel del torso,locomotor,hands,2,Can hold head up and begins to push up when lying on tummy,movement,,,,
75,Keeps his/her head held up while being face down,head,locomotor,head,Mantiene levantada la cabeza estando boca abajo,locomotor,head,2,Can hold head up and begins to push up when lying on tummy,movement,,,,
283,Smiles at people,smile,social and emotional,smiling,Sonrêe a las personas,social and emotional,smiling,2,Begins to smile at people,soc,,,,
226,"Plays with his/her voice: gargles, vocalizes and laughs in bursts",talk,language and communication,babbling,"Juega con su voz: gorjea, vocaliza y rêe a carcajadas",language and communication,babbling,2,"Coos, makes gurgling sounds",soc,,,,
178,Follows movement of an object on vertical and horizontal planes with his/her sight,gaze,cognition,physical understanding,"Con la mirada, sigue objetos en plano vertical y horizontal",cognition,abstract/conceptual reasoning,4,Follows moving things with eyes from side to side,cog,,,,
79,Demonstrates responses of like or dislike,social and emotional,social and emotional,emotional,Muestra respuestas de agrado o desagrado,social and emotional,emotional,4,Lets you know if she is happy or sad,cog,,,,
237,Demonstrates satisfaction and peace when fed and caressed,social and emotional,social and emotional,attachment,Muestra satisfacciÜn y tranquilidad al alimentarlo y al acariciarlo,social and emotional,attachment,4,Responds to affection,cog,,,,
129,Smiles and reacts with joy towards affectionate stimuli,smile,social and emotional,smiling,Sonrêe y reacciona con alegrêa ante estêmulos cari_osos,social and emotional,smiling,4,Responds to affection,cog,,,,
301,Varies the tone and intensity of his/her babbling,talk,language and communication,babbling,Varêa el tono e intensidad en su balbuceo,language and communication,babbling,4,Babbles with expression and copies sounds he hears,lang/comm,,,,
287,Smiles and begins to babble,talk,language and communication,babbling,Sonrêe y empieza a balbucear,language and communication,babbling,4,Begins to babble,lang/comm,,,,
42,Expresses like or dislike with his/her cries or facial expression,social and emotional,language and communication,communication,Expresa con su cara o gritos agrado o desagrado,language and communication,communication,4,"Cries in different ways to show hunger, pain, or being tired",lang/comm,,,,
41,Explores his/her hands with the mouth ,hands,locomotor,hands,Explora sus manos con la boca,locomotor,hands,4,Brings hands to mouth,movement,,,,
149,Shakes objects,actions with objects,play,actions with objects,Agita objetos,locomotor,manipulation,4,Can hold a toy and shake it and swing at dangling toys,movement,,,,
30,Supports his/her head completely,head,locomotor,head,Sostiene su cabeza completamente,locomotor,head,4,"Holds head steady, unsupported",movement,,,,
151,"While lying face down, flips to face-up position",turn,locomotor,rolling,Al estar boca abajo se voltea boca arriba,locomotor,rolling,4,May be able to roll over from tummy to back,movement,,,,
115,Rests on his/her elbows while lying face down,position,locomotor,early body posture,"Al estar boca abajo, se apoya con sus codos",locomotor,early body posture,4,"When lying on stomach, pushes up to elbows",movement,,,,
218,Imitates movements and facial expressions,imitate,play,imitation,Imita movimientos y expresiones faciales,cognitive,imitation,4,"Copies some movements and facial expressions, like smiling or frowning",soc,,,,
354,Plays with adults,NA,play,social ,Juega con adultos ,social and emotional,play,4,Likes to play with people and might cry when playing stops,soc,,,,
225,Plays with other people,social and emotional,play,social ,Juega con otras personas,social and emotional,play,4,Likes to play with people and might cry when playing stops,soc,,,,
285,Smiles spontaneously when accompanied,smile,social and emotional,smiling,Sonrêe espont_neamente al estar acompa_ado,social and emotional,smiling,4,"Smiles spontaneously, especially at people",soc,,,,
73,Brings the objects he/she holds to his/her mouth,mouth,sensation,mouthing,Toma objetos y se los lleva a la boca,sensation,mouthing,6,Brings things to mouth,cog,,,,
117,Shows interest in his/her surroundings when upright,cognitive,sensation,visual attention,Se interesa por su entorno desde la posiciê_n de erguido,sensation,visual attention,6,Looks around at things nearby,cog,,,,
188,Directs his/her attention to the outside world,cognitive,sensation,visual attention,Dirige su atenciÜn hacia su mundo exterior,sensation,visual attention,6,Looks around at things nearby,cog,,,,
332,Shows curiosity about his/her surroundings,NA,cognition,physical understanding,Demuestra curiosidad por su entorno,cognition,misc,6,Shows curiosity about things and tries to get things that are out of reach,cog,,,,
221,Attempts to grab objects that are out of reach,grasp objects,play,objects,Intenta alcanzar objetos fuera de su alcance,locomotor,coordination,6,Shows curiosity about things and tries to get things that are out of reach,cog,,,,
196,"Emits consonant sounds (sounds of m, n, p, t, d,ó)",talk,language and communication,babbling,"Emite sonidos conson_nticos (sonidos de letras ""m, n, p, t, d, ó"")",language and communication,babbling,6,"Begins to say consonant sounds (jabbering with ""m,"" ""b"")",lang/comm,,,,
383,Responds when his/her name is called,NA,language and communication,comprehension,Responde cuando lo llaman por su nombre,language and communication,comprehension,6,Responds to own name,lang/comm,,,,
195,Emits sounds after hearing a voice,talk,language and communication,babbling,Emite sonidos al escuchar una voz,language and communication,babbling,6,Responds to sounds by making sounds,lang/comm,,,,
262,Positions him/herself on all fours and swings forward and backward without moving forward,crawl,locomotor,crawling,Se acomoda en cuatro puntos (a gatas) y se balancea hacia delante y hacia atrêçs sin avanzar,locomotor,crawling,6,"Rocks back and forth, sometimes crawling backward before moving forward",movement,,,,
92,Can flip from face up and face down easily,turn,locomotor,rolling,Puede voltearse boca arriba y boca abajo f_cilmente,locomotor,rolling,6,"Rolls over in both directions (front to back, back to front)",movement,,,,
186,Identifies and rejects strangers,social and emotional,social and emotional,attachment,Desconoce a extra_os,social and emotional,attachment,6,Knows familiar faces and begins to know if someone is a stranger,soc,,,,
111,Responds differently towards a family member than a stranger,social and emotional,social and emotional,recognition,Responde de diferente manera ante un familiar y un extra_o,social and emotional,recognition,6,Knows familiar faces and begins to know if someone is a stranger,soc,,,,
284,Smiles when he/she sees someone who seems familiar,smile,social and emotional,smiling,Sonrê_e al ver personas que le son familiares,social and emotional,smiling,6,Knows familiar faces and begins to know if someone is a stranger,soc,,,,
95,Reacts with excitement and shows interest when seeing him/herself in the mirror,recognize,social and emotional,recognition,Muestra interê©s y se emociona al verse en el espejo,social and emotional,recognition,6,Likes to look at self in a mirror,soc,,,,
128,Smiles when he/she spots his/her reflection in a mirror,smile,social and emotional,smiling,Sonrê_e al verse reflejado en un espejo,social and emotional,smiling,6,Likes to look at self in a mirror,soc,,,,
206,Is attentive towards objects he/she has seen be hidden,search,cognition,physical understanding,Estêç atento ante objetos que ê©l haya visto esconder,cognition,abstract/conceptual reasoning,9,Looks for things he sees you hide,cog,,,,
125,Follows the movement of an object and anticipates its fall,gaze,cognition,physical understanding,Sigue un objeto en movimiento y anticipa la caê_da,cognition,abstract/conceptual reasoning,9,Watches the path of something as it falls,cog,,,,
53,Imitates actions ,imitate,play,imitation,Imita acciones ,cognitive,imitation,9,Copies sounds and gestures of others,lang/comm,,,,
54,Imitates a syllable pronounced by someone else,imitate,play,imitation,Imita alguna sêlaba pronunciada por otra persona,cognitive,imitation,9,Copies sounds and gestures of others,lang/comm,,,,
345,Deliberately imitates movements,NA,play,imitation,Imita movimientos deliberadamente,cognitive,imitation,9,Copies sounds and gestures of others,lang/comm,,,,
254,"Repeats isolated syllables (ma-ma-ma, pa-pa-pa)",talk,language and communication,babbling,"Repite sêlabas aisladas (ma-ma-ma, pa-pa-pa)",language and communication,babbling,9,"Makes a lot of different sounds like ""mamamama"" and ""bababababa""",lang/comm,,,,
